datetime "Pyranometer Upper Irradiance [W/m$^2$]" "Pyranometer Lower Irradiance [W/m$^2$]" "Pyrgeometer Upper Irradiance [W/m$^2$]" "Pyrgeometer Lower Irradiance [W/m$^2$]" "Albedo [-]" "Net Solar radiation [W/m$^2$]" "Net (total) radiation [W/m$^2$]" "Net Far Infrared radiation [W/m$^2$]" "Sky temperature [°C]" "Radiometer Ground temperature [°C]"
"2018-11-14 00:00:00" 1.8 -2.9 369.0 364.7 -1.1 4.7 9.0 4.3 10.9 10.0
"2018-11-14 00:01:00" 2.2 -0.0 371.7 365.8 0.6 2.2 8.1 5.9 11.4 10.3
"2018-11-14 00:02:00" 2.4 -2.1 370.7 366.0 -0.7 4.5 9.2 4.7 11.2 10.3
"2018-11-14 00:03:00" 1.6 -0.8 369.0 368.5 -0.1 2.4 3.0 0.5 10.9 10.8
"2018-11-14 00:04:00" 3.3 -2.6 370.0 365.9 0.1 5.9 10.0 4.1 11.1 10.3
"2018-11-14 00:05:00" 3.8 -0.7 368.4 363.9 inf 4.5 9.0 4.5 10.7 9.9
"2018-11-14 00:06:00" 5.4 -2.3 368.4 366.8 -inf 7.6 9.2 1.6 10.8 10.4
"2018-11-14 00:07:00" 2.9 -2.4 370.1 364.4 0.0 5.2 10.9 5.7 11.1 10.0
"2018-11-14 00:08:00" 5.0 -0.1 367.6 366.1 -1.4 5.1 6.6 1.5 10.6 10.3
"2018-11-14 00:09:00" 4.6 -3.1 369.2 364.5 inf 7.7 12.4 4.7 10.9 10.0
"2018-11-14 00:10:00" 2.5 -0.7 369.4 367.3 0.5 3.3 5.3 2.1 11.0 10.6
"2018-11-14 00:11:00" 3.2 -2.1 369.3 365.2 -inf 5.4 9.5 4.1 10.9 10.1
"2018-11-14 00:12:00" 4.0 -2.6 366.6 363.8 -inf 6.5 9.4 2.8 10.4 9.9
"2018-11-14 00:13:00" 4.2 -2.2 371.4 366.6 -0.3 6.4 11.2 4.8 11.3 10.4
"2018-11-14 00:14:00" 4.8 -3.4 368.5 366.5 -1.1 8.2 10.2 2.0 10.8 10.4
"2018-11-14 00:15:00" 3.3 -2.9 368.6 365.8 -inf 6.2 9.0 2.8 10.8 10.2
"2018-11-14 00:16:00" 3.1 -1.9 367.5 366.0 -inf 4.9 6.4 1.5 10.6 10.3
"2018-11-14 00:17:00" 3.1 -3.0 368.3 365.9 -0.1 6.1 8.5 2.4 10.7 10.3
"2018-11-14 00:18:00" 6.2 -2.2 371.0 365.3 -0.9 8.4 14.1 5.7 11.3 10.2
"2018-11-14 00:19:00" 3.8 -2.4 368.9 366.0 inf 6.2 9.1 2.8 10.8 10.3
"2018-11-14 00:20:00" 1.7 -3.3 367.8 364.5 -0.5 5.1 8.3 3.3 10.6 10.0
"2018-11-14 00:21:00" 2.4 -1.7 368.6 364.8 -0.2 4.1 7.9 3.8 10.8 10.1
"2018-11-14 00:22:00" 3.8 -0.3 371.2 366.1 -inf 4.1 9.2 5.2 11.3 10.3
"2018-11-14 00:23:00" 2.9 -2.8 369.5 366.1 -inf 5.7 9.0 3.3 11.0 10.3
"2018-11-14 00:24:00" 3.2 -0.1 369.4 365.3 1.6 3.3 7.5 4.2 11.0 10.2
"2018-11-14 00:25:00" 4.2 -1.8 368.2 366.8 -inf 6.0 7.5 1.5 10.7 10.4
"2018-11-14 00:26:00" 2.8 -1.5 366.8 364.3 -0.3 4.3 6.8 2.5 10.5 10.0
"2018-11-14 00:27:00" 3.5 -4.7 371.2 365.1 2.1 8.2 14.3 6.1 11.3 10.1
"2018-11-14 00:28:00" 4.7 -3.4 369.7 365.9 -inf 8.1 11.9 3.8 11.0 10.3
"2018-11-14 00:29:00" 1.9 -1.5 368.3 365.0 1.0 3.4 6.7 3.3 10.7 10.1
"2018-11-14 00:30:00" 3.5 -1.9 365.1 364.3 -inf 5.3 6.2 0.9 10.1 10.0
"2018-11-14 00:31:00" 1.4 1.4 370.5 365.2 1.7 -0.0 5.3 5.3 11.2 10.1
"2018-11-14 00:32:00" 1.5 -4.6 370.8 367.9 -1.3 6.2 9.0 2.9 11.2 10.7
"2018-11-14 00:33:00" 3.7 -2.6 368.0 364.5 -0.6 6.3 9.7 3.5 10.7 10.0
"2018-11-14 00:34:00" 2.5 -2.6 367.6 366.0 -0.0 5.1 6.7 1.5 10.6 10.3
"2018-11-14 00:35:00" 3.7 -0.9 367.7 364.6 -0.7 4.6 7.6 3.0 10.6 10.0
"2018-11-14 00:36:00" 3.1 -2.4 366.8 363.8 1.0 5.6 8.6 3.1 10.5 9.9
"2018-11-14 00:37:00" 3.6 -2.0 367.6 366.0 inf 5.6 7.2 1.6 10.6 10.3
"2018-11-14 00:38:00" 2.6 -0.1 370.5 367.0 -1.0 2.7 6.1 3.4 11.2 10.5
"2018-11-14 00:39:00" 4.8 -1.4 370.6 364.5 -0.2 6.2 12.3 6.1 11.2 10.0
